sei_numero,status,cpr,upm,publico_previsto,natureza,evento,endereco,cidade,inicio,fim,local_caracteristica,transito,Coluna 14,latitude,longitude
00050-00003078/2023-02,ENC,1º CPR,24º BPM,4000,JUNINA,FESTA JUNINA,LAGO NORTE - DF - SHIN QI 03 LOTE A - ÁREA ESPECIAL,Lago Norte,2023-05-05 18:00:00,2023-05-05 23:59:00,PRIF,,2023-03-15,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"Asa Sul/DF - SGAS 908, Av. W5 Sul, Lote 24 e 25",Plano Piloto - Asa Sul,2023-05-25 18:00:00,2023-05-25 23:59:00,PRIF,,2023-04-04,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"ASA SUL/DF - SGAS 908, AV. W5 SUL, LOTE 24 E 25",Plano Piloto - Asa Sul,2023-05-26 18:00:00,2023-05-26 23:59:00,PRIF,,2023-04-04,,
00050-00005324/2023-52,ENC,1º CPR,1º BPM,3000,JUNINA,ARRAIÁ DA GPS,"PLANO PILOTO-DF, SCES TRECHO 02 - CLUBE ASBAC",Plano Piloto - Asa Sul,2023-05-27 15:00:00,2023-05-28 05:00:00,PRIF,,2023-05-09,,
00050-00005363/2023-50,ENC,1º CPR,7º BPM,800,JUNINA,FESTA JUNINA DA PARÓQUIA SANTA TEREZINHA,"CRUZEIRO-DF, SHCES Q. 801 LOTE 02 - CRUZEIRO NOVO",Cruzeiro,2023-05-27 17:00:00,2023-05-28 01:00:00,,,2023-05-05,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"ASA SUL/DF - SGAS 908, AV. W5 SUL, LOTE 24 E 25",Plano Piloto - Asa Sul,2023-05-27 18:00:00,2023-05-27 23:59:00,PRIF,,2023-04-04,,
00050-00005363/2023-50,ENC,1º CPR,7º BPM,800,JUNINA,FESTA JUNINA DA PARÓQUIA SANTA TEREZINHA,"CRUZEIRO-DF, SHCES Q. 801 LOTE 02 - CRUZEIRO NOVO",Cruzeiro,2023-05-28 17:00:00,2023-05-29 01:00:00,,,2023-05-05,,
00050-00004095/2023-59,ENC,1º CPR,1º BPM,0,JUNINA,FESTA JUNINA 2023,"ASA SUL/DF - SGAS 908, AV. W5 SUL, LOTE 24 E 25",Plano Piloto - Asa Sul,2023-05-28 18:00:00,2023-05-28 23:59:00,PRIF,,2023-04-04,,
00050-00006395/2023-72,ENC,1º CPR,1º BPM,500,JUNINA,FESTA JULHINA DA 402 SUL,ASA SUL - DF - QUADRA POLIESPORTIVA - GRAMADO EM FRENTE A QUADRA SQS 402,Plano Piloto - Asa Sul,2023-06-01 17:00:00,2023-06-01 22:00:00,PUBA,,2023-05-24,,
00050-00005337/2023-21,ENC,1º CPR,3º BPM,1000,JUNINA,FESTA JUNINA DO IATE CLUBE,"PLANO PILOTO-DF, SCES TRECHO 02 CONJ. 04 - IATE CLUBE DE BRASÍLIA",Plano Piloto - Asa Norte,2023-06-01 19:00:00,2023-06-01 23:59:00,PRIF,,2023-05-04,,
